name,value,description
From USA,0.249027643,High-income: 7841<br>Low-income: 24325
Foreign,0.198813056,High-income: 670<br>Low-income: 2700
blank,0,3
Men,0.308697465,High-income: 6662<br>Low-income: 14919
Women,0.111384034,High-income: 1179<br>Low-income: 9406
blank2,0,6
White,0.259110933,High-income: 7117<br>Low-income: 20350
Black,0.125242718,High-income: 387<br>Low-income: 2703
Asian,0.266152363,High-income: 276<br>Low-income: 761
Native American,0.116883117,High-income: 36<br>Low-income: 272
blank3,0,11
Married,0.446907974,High-income: 6692<br>Low-income: 8282
Divorced,0.104208868,High-income: 463<br>Low-income: 3980
blank4,0,14
Divorced men,0.160361378,High-income: 284<br>Low-income: 1487
Divorced women,0.066991018,High-income: 179<br>Low-income: 2493
blank5,0,17
Widowers,0.232142857,High-income: 39<br>Low-income: 129
Widows,0.055757576,High-income: 46<br>Low-income: 779
